customer_id,recency,frequency,monetary,tenure,avg_order_value,n_items,n_products,purchase_rate,avg_gap
12346.0,326,12,77556.46,726,6463.038333333334,74285,27,0.49586776859504134,60.5
12347.0,2,8,5633.32,404,704.165,3286,126,0.594059405940594,50.5
12348.0,75,5,2019.4,438,403.88,2714,25,0.3424657534246575,87.6
12349.0,19,4,4428.69,589,1107.1725,1624,138,0.2037351443123939,147.25
12350.0,310,1,334.4,310,334.4,197,17,0.0967741935483871,310.0
12351.0,375,1,300.93,375,300.93,261,21,0.08,375.0
12352.0,36,10,2849.84,393,284.98400000000004,724,70,0.7633587786259541,39.3
12353.0,204,2,406.76,409,203.38,212,23,0.1466992665036675,204.5
12354.0,232,1,1079.4,232,1079.4,530,58,0.12931034482758622,232.0
12355.0,214,2,947.61,568,473.805,543,35,0.1056338028169014,284.0
12356.0,23,6,6373.68,425,1062.28,3417,104,0.4235294117647059,70.83333333333333
12357.0,33,3,18287.66,389,6095.886666666666,6587,261,0.23136246786632392,129.66666666666666
12358.0,2,5,3887.07,732,777.414,1079,56,0.20491803278688525,146.4
12359.0,58,10,8935.94,734,893.594,2752,305,0.4087193460490463,73.4
12360.0,52,8,4252.89,656,531.61125,2459,160,0.36585365853658536,82.0
12361.0,287,4,511.25,682,127.8125,235,18,0.17595307917888564,170.5
12362.0,3,11,5356.23,739,486.92999999999995,2230,201,0.4465493910690122,67.18181818181819
12363.0,110,2,552.0,242,276.0,408,23,0.24793388429752067,121.0
12364.0,8,4,1313.1,112,328.275,1506,70,1.0714285714285714,28.0
12365.0,291,2,641.38,291,320.69,174,22,0.20618556701030927,145.5
12366.0,634,1,500.24,634,500.24,296,3,0.0473186119873817,634.0
12367.0,4,1,168.9,4,168.9,173,11,7.5,4.0
12368.0,628,1,917.6999999999999,628,917.6999999999999,330,18,0.04777070063694268,628.0
12369.0,413,3,1791.15,642,597.0500000000001,1241,90,0.14018691588785046,214.0
12370.0,51,7,4320.31,669,617.1871428571429,2605,168,0.31390134529147984,95.57142857142857
12371.0,45,5,4067.38,645,813.476,1436,134,0.23255813953488372,129.0
12372.0,72,3,1298.04,297,432.68,794,34,0.30303030303030304,99.0
12373.0,311,3,1127.65,674,375.8833333333334,516,36,0.13353115727002968,224.66666666666666
12374.0,25,4,2989.2200000000003,588,747.3050000000001,1362,79,0.20408163265306123,147.0
12375.0,11,2,457.5,98,228.75,178,14,0.6122448979591836,49.0
12376.0,390,2,503.15,418,251.575,240,11,0.14354066985645933,209.0
12377.0,315,4,3426.32,589,856.58,2105,129,0.2037351443123939,147.25
12378.0,130,2,5416.32,562,2708.16,3316,281,0.10676156583629892,281.0
12379.0,82,4,1620.22,535,405.055,815,58,0.22429906542056074,133.75
12380.0,22,11,9676.300000000001,663,879.6636363636364,3355,156,0.497737556561086,60.27272727272727
12381.0,5,5,1845.31,120,369.062,808,70,1.25,24.0
12383.0,185,5,1850.56,352,370.11199999999997,1532,84,0.42613636363636365,70.4
12384.0,29,2,585.27,122,292.635,126,26,0.49180327868852464,61.0
12385.0,379,1,1938.4,379,1938.4,612,65,0.07915567282321899,379.0
12386.0,338,2,660.8,367,330.4,568,10,0.16348773841961853,183.5
12387.0,415,1,143.94,415,143.94,134,9,0.07228915662650603,415.0
12388.0,16,8,3901.11,582,487.63875,2001,83,0.41237113402061853,72.75
12389.0,403,3,1433.33,656,477.77666666666664,614,41,0.1371951219512195,218.66666666666666
12390.0,80,1,549.84,80,549.84,353,32,0.375,80.0
12391.0,22,6,2773.42,663,462.2366666666667,1220,241,0.2714932126696833,110.5
12392.0,591,1,234.75000000000003,591,234.75000000000003,73,7,0.050761421319796954,591.0
12393.0,72,6,2399.4500000000003,428,399.90833333333336,1311,63,0.4205607476635514,71.33333333333333
12394.0,64,2,1272.48,217,636.24,819,26,0.2764976958525346,108.5
12395.0,19,15,5067.27,603,337.81800000000004,3733,145,0.746268656716418,40.2
12396.0,674,1,931.43,674,931.43,591,65,0.04451038575667656,674.0
12397.0,36,2,2409.9,135,1204.95,1263,110,0.4444444444444445,67.5
12398.0,46,1,1635.6599999999999,46,1635.6599999999999,1394,85,0.6521739130434783,46.0
12399.0,119,7,1962.3,645,280.3285714285714,2198,67,0.32558139534883723,92.14285714285714
12400.0,414,1,205.25,414,205.25,91,11,0.07246376811594203,414.0
12401.0,303,1,84.3,303,84.3,11,5,0.09900990099009901,303.0
12402.0,323,6,1256.9,671,209.48333333333335,584,43,0.26825633383010433,111.83333333333333
12403.0,50,2,1019.36,522,509.68,260,5,0.11494252873563218,261.0
12404.0,682,1,63.24,682,63.24,1,1,0.04398826979472141,682.0
12405.0,149,1,1710.39,149,1710.39,857,54,0.20134228187919462,149.0
12406.0,22,5,6390.36,697,1278.072,3416,114,0.2152080344332855,139.4
12407.0,50,5,1708.1200000000001,264,341.624,1416,57,0.5681818181818182,52.8
12408.0,33,8,4340.7699999999995,498,542.5962499999999,2229,104,0.48192771084337344,62.25
12409.0,79,7,23419.29,565,3345.612857142857,13143,177,0.37168141592920356,80.71428571428571
12410.0,309,3,1013.71,502,337.90333333333336,341,36,0.17928286852589642,167.33333333333334
12411.0,410,1,346.9,410,346.9,138,22,0.07317073170731707,410.0
12412.0,75,6,2596.93,539,432.82166666666666,1997,82,0.3339517625231911,89.83333333333333
12413.0,67,4,999.45,402,249.8625,319,41,0.29850746268656714,100.5
12414.0,217,6,952.41,464,158.73499999999999,495,21,0.3879310344827586,77.33333333333333
12415.0,24,28,144458.37,528,5159.2275,91447,498,1.590909090909091,18.857142857142858
12416.0,657,1,202.56,657,202.56,132,11,0.045662100456621,657.0
12417.0,3,20,6816.91,734,340.8455,2890,270,0.8174386920980926,36.7
12418.0,113,4,2021.2,630,505.3,1088,90,0.19047619047619047,157.5
12419.0,386,2,503.01,414,251.505,231,23,0.14492753623188406,207.0
12420.0,64,1,600.39,64,600.39,345,29,0.46875,64.0
12421.0,16,6,1098.6,505,183.1,652,44,0.3564356435643564,84.16666666666667
12422.0,96,17,5231.8,722,307.7529411764706,2596,137,0.7063711911357341,42.470588235294116
12423.0,1,10,2622.39,466,262.239,1793,128,0.6437768240343348,46.6
12424.0,163,4,3340.03,548,835.0075,2025,78,0.218978102189781,137.0
12425.0,78,2,1741.41,448,870.705,1147,87,0.13392857142857142,224.0
12426.0,195,2,1345.21,663,672.605,584,73,0.09049773755656108,331.5
12427.0,22,3,1129.3,372,376.43333333333334,612,26,0.24193548387096775,124.0
12428.0,26,9,7956.46,284,884.0511111111111,3536,258,0.9507042253521126,31.555555555555557
12429.0,9,8,7485.91,546,935.73875,3344,124,0.43956043956043955,68.25
12430.0,43,1,256.4,43,256.4,117,11,0.6976744186046512,43.0
12431.0,36,27,10857.97,694,402.147037037037,4717,244,1.1671469740634006,25.703703703703702
12432.0,43,5,5059.32,172,1011.8639999999999,1801,107,0.872093023255814,34.4
12433.0,1,10,20581.26,477,2058.1259999999997,17116,285,0.628930817610063,47.7
12434.0,85,3,1103.43,381,367.81,532,62,0.23622047244094488,127.0
12435.0,80,6,13925.93,737,2320.9883333333332,4958,88,0.24423337856173674,122.83333333333333
12436.0,100,1,509.01,100,509.01,211,16,0.3,100.0
12437.0,2,39,12683.4,737,325.2153846153846,8000,273,1.587516960651289,18.897435897435898
