customer_id,recency,frequency,monetary
12346,326,12,77556.46
12354,232,1,1079.4
12355,214,2,947.61
12368,628,1,917.6999999999999
12369,413,3,1791.15
12373,311,3,1127.65
12377,315,4,3426.32
12385,379,1,1938.4
12389,403,3,1433.33
12396,674,1,931.43
12402,323,6,1256.9
12410,309,3,1013.71
12414,217,6,952.41
12426,195,2,1345.21
12439,683,2,1158.18
12469,523,2,3070.54
12482,576,29,23691.4
12486,432,1,1037.28
12501,337,1,2169.39
12503,584,1,1126.0
12505,409,1,955.2
12511,429,1,3084.02
12514,267,2,1597.76
12525,498,3,973.73
12533,628,2,1367.89
12543,448,1,980.25
12549,576,6,1575.68
12580,247,2,1052.9
12582,239,4,1980.4
12585,234,2,2040.1
12590,211,2,9864.26
12591,317,3,1352.15
12605,376,4,1232.95
12623,276,7,3747.84
12625,212,4,5164.88
12629,386,2,1558.22
12639,239,3,1312.37
12652,331,2,1017.03
12666,394,1,1248.42
12671,606,1,2622.481
12675,554,2,958.5
12687,481,2,2138.91
12711,612,2,1339.05
12725,371,4,2694.56
12733,234,4,2424.87
12737,499,2,3710.5
12742,626,1,1201.52
12745,487,3,925.41
12754,236,3,3010.74
12755,281,11,9030.66
12764,317,1,1693.88
12765,472,6,1404.58
12767,376,1,949.82
12769,239,1,1143.6
12770,211,2,3246.45
12785,364,3,1100.4
12791,374,6,1056.1100000000001
12793,335,3,1017.33
12801,501,1,1071.82
12803,393,1,1092.81
12805,382,4,1434.95
12806,435,4,2878.96
12811,261,5,1033.9
12813,502,3,1687.8
12818,262,1,1542.08
12835,428,41,6043.31
12857,211,6,3688.0
12862,426,2,1008.3199999999999
12866,283,3,1227.35
12870,375,3,1676.95
12872,327,12,3685.4900000000002
12873,282,3,2027.3
12874,385,2,948.42
12905,577,2,1018.42
12911,552,1,1680.47
12918,626,1,10953.5
12926,411,4,1548.46
12932,539,8,1698.56
12945,288,2,900.11
12960,414,4,1322.07
12967,358,3,4306.92
12972,414,4,1161.2
12975,437,6,2100.09
12976,212,8,3156.38
12978,385,5,2502.82
12982,243,8,2744.81
12986,429,10,2729.84
12998,493,3,920.08
13019,379,6,1229.95
13031,407,5,3419.27
13039,584,4,1010.73
13042,598,3,1556.54
13044,291,11,4853.9
13052,212,7,3168.53
13059,250,10,2303.17
13065,373,5,1260.91
13074,511,4,1378.74
13093,276,55,54943.65
13108,373,2,1098.52
13135,197,2,3371.45
13151,296,3,2580.7400000000002
13152,417,7,2146.38
13154,399,3,1624.84
13156,385,3,1586.54
13201,502,4,1240.6100000000001
13202,394,7,1580.3
13204,731,1,966.6600000000001
13205,443,1,2803.2
13206,400,13,8377.32
13214,418,7,3264.23
13223,200,6,969.1200000000001
13235,212,1,1031.07
13239,262,5,1594.69
13243,203,5,1278.04
13261,269,2,944.1
13270,366,1,1180.0
13288,443,5,927.61
13293,392,6,1192.94
13294,190,3,1689.53
13295,360,4,1101.97
13299,268,3,1218.7
13304,351,4,1217.99
13328,316,1,1308.48
13333,411,3,1015.74
13337,546,1,1575.26
13357,257,5,3838.36
13360,432,4,1553.65
13361,472,2,1450.5
13368,257,4,1121.5
13370,372,1,1509.74
13371,505,2,2297.66
13377,397,2,1552.88
13382,281,5,1387.58
13393,584,4,1131.45
13407,579,3,2244.7
13439,255,3,986.61
13440,423,7,1295.25
13443,449,6,1280.16
13446,430,11,3881.89
13459,625,2,1160.4099999999999
13462,253,5,1153.85
13465,446,2,931.12
13475,191,4,1431.78
13478,469,5,2215.78
13485,233,11,3019.2200000000003
13497,283,6,1320.33
13501,288,3,2885.11
13506,316,5,1639.2
13526,738,2,1182.0
13531,205,6,1738.52
13542,377,17,4006.17
13543,634,2,1439.6100000000001
13554,380,7,1638.28
13559,513,2,990.0
13561,216,11,1820.72
13567,428,4,1083.69
13572,206,1,1384.25
13613,453,5,1039.8500000000001
13615,319,8,6272.53
13641,641,5,1016.47
13648,400,8,1764.02
13649,257,6,1678.88
13659,206,12,4894.88
13665,386,3,1711.6599999999999
13687,438,1,11880.84
13693,374,9,2011.82
13696,422,3,2020.4
13707,267,5,3365.86
13711,219,9,1792.26
13715,281,17,8483.29
13723,217,6,1209.2
13734,509,4,6701.640000000001
13740,241,5,1597.77
13753,288,4,2094.57
13762,219,5,2472.48
13775,591,1,1049.66
13783,488,4,1542.09
13786,367,6,3358.94
13797,437,3,1179.45
13800,310,3,1679.56
13803,255,3,1338.91
13819,302,6,2642.35
13855,501,4,1310.3400000000001
13857,393,6,1001.01
13863,248,4,1239.55
13872,527,3,919.57
13874,358,7,2049.15
13902,632,5,34095.26
13916,464,4,1275.81
13920,432,4,1774.68
13934,264,1,922.1
13935,597,3,6116.92
13952,218,14,12823.521
13958,380,8,4709.2300000000005
13963,308,17,3011.87
13965,477,3,996.61
13976,207,4,1192.36
14000,211,5,2046.3400000000001
14009,198,3,1099.91
14025,465,8,4057.9
14028,550,3,10396.5
14061,507,3,917.4300000000001
14063,438,9,22710.2
14068,320,4,1528.3700000000001
14081,302,10,5370.1
14091,654,2,9530.08
14105,239,5,5988.83
14114,274,7,1364.09
14130,319,4,1882.67
14134,383,15,11123.35
14136,401,5,1570.81
14142,373,2,983.15
14154,239,8,6460.7
14160,610,7,8421.47
14161,216,7,3318.88
14176,297,5,916.01
14186,427,5,1550.63
14195,202,6,2615.6
14199,218,4,1091.7
14206,239,3,1185.01
14213,405,1,1192.2
14220,247,4,1515.0
14225,435,4,2037.02
14230,436,3,979.8000000000001
14245,220,2,1693.45
14248,318,3,1032.95
14249,411,12,5625.461
14255,546,1,1000.63
14256,260,5,2473.9900000000002
14275,396,6,1189.3799999999999
14304,223,3,1725.01
14308,549,2,1147.02
14316,422,5,1370.34
14320,207,5,1346.75
14326,242,3,940.98
14343,421,4,1088.91
14350,274,3,972.03
14355,366,3,1014.45
14370,451,6,1175.78
14399,394,8,2113.16
14411,311,1,1063.0
14423,218,3,916.6099999999999
14430,512,3,1220.9
14431,303,4,2614.2
14437,366,5,958.84
14439,320,5,9443.04
14442,205,7,5367.0199999999995
14454,376,5,977.3
14465,247,11,3946.03
14469,416,4,2112.21
14478,382,4,1276.66
14479,254,4,1299.11
14489,207,4,1574.93
14490,406,2,1273.47
14492,430,7,1921.91
14496,312,7,2668.23
14510,376,3,1007.28
14532,236,11,3859.1800000000003
14549,311,4,916.5500000000001
14564,435,2,2605.62
14568,435,1,919.7
14590,425,20,3006.62
14605,374,4,937.16
14615,394,5,951.76
14619,246,2,1291.24
14625,196,11,4497.88
14634,438,4,2124.46
14648,416,15,4546.86
14669,242,7,3243.93
14671,549,2,1127.45
14672,235,4,1113.14
14679,382,3,1289.44
14685,576,8,4619.79
14693,265,7,1165.36
14695,519,3,1620.07
14729,374,3,907.38
14734,426,4,1056.42
14740,197,11,4161.06
14770,232,8,3637.64
14802,438,2,1502.98
14813,370,4,1090.87
14817,200,7,3959.86
14821,367,7,1286.45
14828,197,13,9839.460000000001
14831,680,3,1676.57
14839,418,3,915.28
14850,312,7,1794.01
14870,262,6,1838.95
14896,205,8,2092.42
14899,395,1,1384.88
14909,437,3,1404.68
14917,597,2,1123.75
14920,213,3,1607.17
14924,246,3,931.01
14932,366,2,1029.66
14933,444,4,1770.0
14935,297,2,2849.83
14938,562,2,2322.43
14956,421,1,1325.0
14969,704,1,906.23
14988,212,7,2066.6
14994,382,5,960.63
15003,473,6,1060.7
15013,488,10,1641.3
15015,501,13,2365.02
15032,256,8,13780.65
15057,275,5,3255.96
15064,410,4,1254.41
15077,495,2,2428.08
15079,213,11,3767.35
15084,380,2,965.2
15100,334,7,2894.7
15104,197,2,1027.44
15107,311,9,940.35
15109,246,3,983.1
15141,458,7,1388.47
15151,423,2,2085.61
15165,373,1,975.5
15167,321,5,1659.67
15171,331,1,1289.5
15173,381,7,1494.6
15176,668,1,988.04
15177,426,1,948.93
15180,367,3,904.4300000000001
15202,420,3,6001.49
15210,225,3,1176.19
15221,366,4,2465.4500000000003
15222,319,11,3550.91
15223,226,5,1417.95
15235,218,16,2937.81
15248,411,3,1893.93
15259,513,4,1182.3799999999999
15268,479,3,961.9000000000001
15279,355,5,1580.54
15303,290,3,1224.18
15310,479,1,1634.64
15326,334,5,1700.52
15332,366,6,6553.74
15333,208,1,1028.56
15347,366,4,1363.6
15353,255,7,3175.95
15363,373,2,1004.11
15369,492,11,6251.26
15377,383,4,1211.75
15381,214,5,1890.5700000000002
15390,396,2,1216.66
15413,692,5,6798.72
15422,323,7,1619.97
15425,400,4,1944.57
15430,468,2,954.75
15439,405,4,1269.05
15441,396,3,1254.21
15456,283,10,2119.27
15464,338,1,1048.85
15476,380,4,2209.98
15481,401,1,1993.34
15508,189,6,1000.27
15538,538,6,3358.3999999999996
15542,512,3,918.45
15546,607,2,1079.1000000000001
15559,568,1,1109.4
15580,377,8,1381.19
15586,593,3,1139.1
15590,382,5,1496.6
15600,428,4,1199.31
15607,337,9,1708.97
15614,438,4,3147.36
15629,450,4,2240.9
15633,509,13,4352.46
15638,379,6,2265.2
15649,336,4,2170.35
15658,190,8,2423.4700000000003
15661,317,8,1215.95
15695,267,4,1131.04
15723,365,4,947.65
15732,212,10,1682.07
15736,435,2,1815.72
15749,235,3,44534.3
