customer_id,recency,frequency,monetary
12346,326,12,77556.46
12347,2,8,5633.32
12352,36,10,2849.84
12356,23,6,6373.68
12357,33,3,18287.66
12358,2,5,3887.07
12359,58,10,8935.94
12360,52,8,4252.89
12362,3,11,5356.23
12380,22,11,9676.300000000001
12388,16,8,3901.11
12395,19,15,5067.27
12406,22,5,6390.36
12408,33,8,4340.7699999999995
12409,79,7,23419.29
12415,24,28,144458.37
12417,3,20,6816.91
12422,96,17,5231.8
12423,1,10,2622.39
12428,26,9,7956.46
12429,9,8,7485.91
12431,36,27,10857.97
12433,1,10,20581.26
12435,80,6,13925.93
12437,2,39,12683.4
12444,21,5,5005.46
12449,22,6,4835.89
12451,11,8,12669.88
12454,56,5,16679.78
12455,73,10,5879.95
12471,2,79,39963.79
12472,32,19,17880.59
12474,17,31,12424.45
12476,16,23,14115.41
12477,23,9,20276.37
12480,28,7,5464.85
12481,23,15,12361.39
12482,576,29,23691.4
12483,17,19,5120.58
12484,33,12,6370.15
12490,5,21,9823.64
12494,16,9,1872.8700000000001
12500,23,19,5955.21
12518,1,5,2056.89
12523,19,23,4372.15
12524,9,17,11126.11
12530,60,9,3759.26
12539,22,7,11214.75
12540,20,33,22254.49
12553,8,12,4608.75
12557,16,8,18716.14
12562,8,9,4966.92
12567,23,15,13709.86
12569,2,32,4124.69
12583,3,27,14447.44
12584,4,9,2338.15
12589,29,8,4695.66
12594,38,15,5090.110000000001
12598,10,11,4534.09
12599,29,13,2296.72
12600,29,21,5043.92
12613,57,10,6835.07
12615,2,8,5740.98
12619,16,10,3781.38
12621,2,35,24775.81
12626,23,9,6620.48
12627,11,7,4478.53
12633,59,7,5678.16
12637,67,12,8340.31
12643,128,12,8350.42
12645,34,8,3539.3
12647,22,36,17924.35
12656,17,8,6407.83
12662,1,20,6988.02
12664,8,11,6070.04
12668,12,10,11444.68
12670,10,7,3760.29
12676,25,11,2843.09
12678,42,21,34281.18
12681,15,45,30868.28
12682,4,52,24033.91
12683,4,21,12696.78
12684,8,7,2283.63
12700,8,4,4939.99
12704,7,8,2340.84
12705,15,14,11762.1
12708,30,18,5314.1
12709,15,34,31093.34
12712,29,21,7193.66
12714,9,12,14093.71
12720,3,30,8260.67
12721,32,8,4013.08
12724,5,7,2317.52
12726,28,11,4014.6
12727,11,10,5679.53
12731,24,17,25775.71
12744,52,11,25317.06
12747,2,26,9276.539999999999
12748,1,336,56599.39
12749,4,9,6897.36
12753,23,6,21429.39
12755,281,11,9030.66
12757,16,13,7857.1
12758,117,7,9903.24
12759,52,8,5020.74
12766,4,9,10068.28
12778,20,9,1775.68
12779,38,14,6722.2699999999995
12782,5,11,4618.24
12783,2,6,2225.91
12798,10,4,8510.93
12820,3,11,2689.52
12823,75,18,6501.5
